A00,Cólera
A000,Cólera devida Vibrio cholerae 01
A001,Cólera devida Vibrio cholerae 01
A009,Cólera não especificada
A01,Febres tifóide paratifóide
A010,Febre tifóide
A011,Febre paratifóide A
A012,Febre paratifóide B
A013,Febre paratifóide C
A014,Febre paratifóide não especificada
A02,Outras infecções Salmonella
A020,Enterite salmonela
A021,Septicemia salmonela
A022,Infecções localizadas salmonela
A028,Outras infecções especificadas salmonela
A029,Infecção não especificada salmonela
A03,Shiguelose
A030,Shiguelose devida Shigella dysenteriae
A031,Shiguelose devida Shigella flexneri
A032,Shiguelose devida Shigella boydii
A033,Shiguelose devida Shigella sonnei
A038,Outras shigueloses
A039,Shiguelose não especificada
A04,Outras infecções intestinais bacterianas
A040,Infecção Escherichia coli enteropatogênica
A041,Infecção Escherichia coli enterotoxigênica
A042,Infecção Escherichia coli enteroinvasiva
A043,Infecção Escherichia coli enterohemorrágica
A044,Outras infecções intestinais Escherichia coli
A045,Enterite Campylobacter
A046,Enterite devida Yersinia enterocolítica
A047,Enterocolite devida Clostridium difficile
A048,Outras infecções bacterianas intestinais especificadas
A049,Infecção intestinal bacteriana não especificada
A05,Outras intoxicações alimentares bacterianas
A050,Intoxicação alimentar estafilocócica
A051,Botulismo
A052,Intoxicação alimentar devida Clostridium perfringens [Clostridium welchii]
A053,Intoxicação alimentar devida Vibrio parahemolyticus
A054,Intoxicação alimentar devida Bacillus cereus
A058,Outras intoxicações alimentares bacterianas especificadas
A059,Intoxicação alimentar bacteriana não especificada
A06,Amebíase
A060,Disenteria amebiana aguda
A061,Amebíase intestinal crônica
A062,Colite amebiana não-disentérica
A063,Ameboma intestinal
A064,Abscesso amebiano fígado
A065,Abscesso amebiano pulmão
A066,Abscesso amebiano cérebro
A067,Amebíase cutânea
A068,Infecção amebiana outras localizações
A069,Amebíase não especificada
A07,Outras doenças intestinais protozoários
A070,Balantidíase
A071,Giardíase [lamblíase]
A072,Criptosporidiose
A073,Isosporíase
A078,Outras doenças intestinais especificadas protozoários
A079,Doença intestinal não especificada protozoários
A08,Infecções intestinais virais
A080,Enterite rotavírus
A081,Gastroenteropatia aguda  agente Norwalk
A082,Enterite adenovírus
A083,Outras enterites virais
A084,Infecção intestinal devida vírus não especificado
A085,Outras infecções intestinais especificadas
A09,Diarréia gastroenterite origem infecciosa presumível
A15,Tuberculose respiratória
A150,Tuberculose pulmonar
A151,Tuberculose pulmonar
A152,Tuberculose pulmonar
A153,Tuberculose pulmonar
A154,Tuberculose gânglios intratorácicos
A155,Tuberculose laringe
A156,Pleuris tuberculoso
A157,Tuberculose primária vias respiratórias
A158,Outras formas tuberculose vias respiratórias
A159,Tuberculose não especificada vias respiratórias
A16,Tuberculose vias respiratórias
A160,Tuberculose pulmonar exames bacteriológico histológico negativos
A161,Tuberculose pulmonar
A162,Tuberculose pulmonar
A163,Tuberculose gânglios intratorácicos
A164,Tuberculose laringe
A165,Pleurisia tuberculosa
A167,Tuberculosa respiratória primária menção confirmação bacteriológica histológica
A168,Outras formas tuberculose vias respiratórias
A169,Tuberculose respiratória
A17,Tuberculose sistema nervoso
A170,Meningite tuberculosa
A171,Tuberculoma meníngeo
A178,Outras tuberculoses sistema nervoso
A179,Tuberculose não especificada sistema nervoso
A18,Tuberculose outros órgãos
A180,Tuberculose óssea articulações
A181,Tuberculose aparelho geniturinário
A182,Linfadenopatia tuberculosa periférica
A183,Tuberculose intestino
A184,Tuberculose pele tecido celular subcutâneo
A185,Tuberculose olho
A186,Tuberculose ouvido
A187,Tuberculose supra-renais
A188,Tuberculose outros órgãos especificados
A19,Tuberculose miliar
A190,Tuberculose miliar aguda localização única especificada
A191,Tuberculose miliar aguda múltiplas localizações
A192,Tuberculose miliar aguda não especificada
A198,Outras tuberculoses miliares
A199,Tuberculose miliar não especificada
A20,Peste
A200,Peste bubônica
A201,Peste celulocutânea
A202,Peste pneumônica
A203,Peste meníngea
A207,Peste septicêmica
A208,Outras formas peste
A209,Peste
A21,Tularemia
A210,Tularemia ulceroglandular
A211,Tularemia oculoglandular
A212,Tularemia pulmonar
A213,Tularemia gastrointestinal
A217,Tularemia generalizada
A218,Outras formas tularemia
A219,Tularemia
A22,Carbúnculo
A220,Carbúnculo cutâneo
A221,Carbúnculo pulmonar
A222,Carbúnculo gastrointestinal
A227,Septicemia carbunculosa
A228,Outras formas carbúnculo
A229,Carbúnculo
A23,Brucelose
A230,Brucelose Brucella melitensis
A231,Brucelose Brucella abortus
A232,Brucelose Brucella suis
A233,Brucelose Brucella canis
A238,Outras bruceloses
A239,Brucelose não especificada
A24,Mormo melioidose
A240,Mormo
A241,Melioidose aguda fulminante
A242,Melioidose subaguda crônica
A243,Outras melioidoses
A244,Melioidose não especificada
A25,Febres transmitidas mordedura rato
A250,Espirilose
A251,Estreptobacilose
A259,Febre transmitida mordedura rato
A26,Erisipelóide
A260,Erisipelóide cutâneo
A267,Septicemia Erysipelothrix
A268,Outras formas erisipelóide
A269,Erisipelóide não especificado
A27,Leptospirose
A270,Leptopirose icterohemorrágica
A278,Outras formas leptospirose
A279,Leptospirose não especificada
A28,Outras doenças bacterianas zoonóticas não classificadas outra parte
A280,Pasteurelose
A281,Doença arranhadura gato
A282,Yersiniose extra-intestinal
A288,Outras doenças bacterianas zoonóticas especificadas não classificadas outra parte
A289,Doença bacteriana zoonótica não especificada
A30,Hanseníase [doença Hansen] [lepra]
A300,Hanseníase [lepra] indeterminada
A301,Hanseníase [lepra] tuberculóide
A302,Hanseníase [lepra] tuberculóide borderline
A303,Hanseníase [lepra] dimorfa
A304,Hanseníase [lepra] lepromatosa borderline
A305,Hanseníase [lepra] lepromatosa
A308,Outras formas hanseníase [lepra]
A309,Hanseníase [lepra] não especificada
A31,Infecções devidas outras micobactérias
A310,Infecção pulmonar micobacteriana
A311,Infecção cutânea micobacteriana
A318,Outras infecções micobacterianas
A319,Infecção micobacteriana não especificada
A32,Listeriose [listeríase]
A320,Listeriose cutânea
A321,Meningite meningoencefalite listéria
A327,Septicemia listeriótica
A328,Outras formas listeriose
A329,Listeriose não especificada
A33,Tétano recém-nascido [neonatal]
A34,Tétano obstétrico
A35,Outros tipos tétano
A36,Difteria
A360,Difteria faríngea
A361,Difteria nasofaríngea
A362,Difteria laríngea
A363,Difteria cutânea
A368,Outras formas difteria
A369,Difteria não especificada
A37,Coqueluche
A370,Coqueluche Bordetella pertussis
A371,Coqueluche Bordetella parapertussis
A378,Coqueluche outras espécies Bordetella
A379,Coqueluche não especificada
A38,Escarlatina
A39,Infecção meningogócica
A390,Meningite meningocócica
A391,Síndrome Waterhouse-Friderichsen
A392,Meningococcemia aguda
A393,Meningococcemia crônica
A394,Meningococcemia não especificada
A395,Cardite meningococos
A398,Outras infecções meningococos
A399,Infecção meningocócica não especificada
A40,Septicemia estreptocócica
A400,Septicemia Streptococcus grupo A
A401,Septicemia Streptococcus grupo B
A402,Septicemia Streptococcus grupo D
A403,Septicemia Streptococcus pneumonia
A408,Outras septicemias estreptocócicas
A409,Septicemia estreptocócica não especificada
A41,Outras septicemias
A410,Septicemia Staphylococcus aureus
A411,Septicemia outros estafilococos especificados
A412,Septicemia estafilococos não especificados
A413,Septicemia Haemophilus influenzae
A414,Septicemia anaeróbios
A415,Septicemia outros microorganismos gram-negativos
A418,Outras septicemias especificadas
A419,Septicemia não especificada
A42,Actinomicose
A420,Actinomicose pulmonar
A421,Actinomicose abdominal
A422,Actinomicose cervicofacial
A427,Septicemia actinomicótica
A428,Outras formas actinomicose
A429,Actinomicose não especificada
A43,Nocardiose
A430,Nocardiose pulmonar
A431,Nocardiose cutânea
A438,Outras formas nocardiose
A439,Nocardiose não especificada
A44,Bartonelose
A440,Bartonelose sistêmica
A441,Bartonelose cutânea cutâneo-mucosa
A448,Outras formas bartonelose
A449,Bartonelose não especificada
A46,Erisipela
A48,Outras doenças bacterianas não classificadas outra parte
A480,Gangrena gasosa
A481,Doença legionários
A482,Doença legionários não-pneumônica [febre Pontiac]
A483,Síndrome choque tóxico
A484,Febre purpúrica Brasil
A488,Outras doenças bacterianas especificadas
A49,Infecção bacteriana localização não especificada
A490,Infecção estafilocócica localização não especificada
A491,Infecção estreptocócica localização não especificada
A492,Infecção Haemophilus influenzae localização não especificada
A493,Infecção Mycoplasma localização não especificada
A498,Outras infecções bacterianas localização não especificada
A499,Infecção bacteriana não especificada
A50,Sífilis congênita
A500,Sífilis congênita precoce sintomática
A501,Sífilis congênita precoce
A502,Sífilis congênita precoce não especificada
A503,Oculopatia sifilítica congênita tardia
A504,Neurossífilis congênita tardia [neurossífilis juvenil]
A505,Outras formas tardias sintomáticas sífilis congênita
A506,Sífilis congênita tardia latente
A507,Sífilis congênita tardia não especificada
A509,Sífilis congênita não especificada
A51,Sífilis precoce
A510,Sífilis genital primária
A511,Sífilis anal primária
A512,Sífilis primária outras localizações
A513,Sífilis secundária pele mucosas
A514,Outras formas sífilis secundária
A515,Sífilis precoce latente
A519,Sífilis precoce não especificada
A52,Sífilis tardia
A520,Sífilis cardiovascular
A521,Neurossífilis sintomática
A522,Neurossífilis assintomática
A523,Neurossífilis não especificada
A527,Outras formas sífilis tardia sintomática
A528,Sífilis tardia latente
A529,Sífilis tardia não especificada
A53,Outras formas as não especificadas sífilis
A530,Sífilis latente
A539,Sífilis não especificada
A54,Infecção gonocócica
A540,Infecção gonocócica trato geniturinário inferior
A541,Infecção gonocócica trato geniturinário inferior
A542,Pelviperitonite gonocócica outras infecções geniturinárias gonocócicas
A543,Infecção gonocócica olho
A544,Infecção gonocócica sistema músculo-esquelético
A545,Faringite gonocócica
A546,Infecção gonocócica ânus reto
A548,Outras infecções gonocócicas
A549,Infecção gonocócica não especificada
A55,Linfogranuloma (venéreo) clamídia
A56,Outras infecções causadas clamídias transmitidas via sexual
A560,Infecções clamídias trato geniturinário inferior
A561,Infecção clamídias
A562,Infecção clamídias trato geniturinário
A563,Infecção ânus reto clamídias
A564,Infecção faringe clamídias
A568,Infecção clamídias transmitida via sexual
A57,Cancro mole
A58,Granuloma inguinal
A59,Tricomoníase
A590,Tricomoníase urogenital
